type,id,created_at,updated_at,waiting_since,snoozed_until,admin_assignee_id,team_assignee_id,open,state,read,priority,sla_applied,conversation_rating,title,ticket,source.type,source.id,source.delivered_as,source.subject,source.body,source.author.type,source.author.id,source.author.name,source.author.email,source.attachments,source.url,source.redacted,contacts.type,contacts.contacts,first_contact_reply.created_at,first_contact_reply.type,first_contact_reply.url,tags.type,tags.tags,statistics.type,statistics.time_to_assignment,statistics.time_to_admin_reply,statistics.time_to_first_close,statistics.time_to_last_close,statistics.median_time_to_reply,statistics.first_contact_reply_at,statistics.first_assignment_at,statistics.first_admin_reply_at,statistics.first_close_at,statistics.last_assignment_at,statistics.last_assignment_admin_reply_at,statistics.last_contact_reply_at,statistics.last_admin_reply_at,statistics.last_close_at,statistics.last_closed_by_id,statistics.count_reopens,statistics.count_assignments,statistics.count_conversation_parts,teammates.type,teammates.admins,custom_attributes.Language,linked_objects.type,linked_objects.data,linked_objects.total_count,linked_objects.has_more,custom_attributes.Priority,conversation_rating.rating,conversation_rating.remark,conversation_rating.created_at,conversation_rating.contact.type,conversation_rating.contact.id,conversation_rating.contact.external_id,conversation_rating.teammate.type,conversation_rating.teammate.id,first_contact_reply,custom_attributes.Created by
conversation,27252734410,1704968051,1704969049,,,5005318.0,,False,closed,True,not_priority,,,Content Ideas Your Website Cannot Miss,,email,2002572543,customer_initiated,<p>Content Ideas Your Website Cannot Miss</p>,"<div dir=""ltr"">
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">Hey there </span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><br style=""color:rgb(34,34,34);font-family:Arial,Helvetica,sans-serif;font-size:small;white-space:normal""></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">I just read some of your blogs and found you have amazingly covered every topic. </span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><br style=""color:rgb(34,34,34);font-family:Arial,Helvetica,sans-serif;font-size:small;white-space:normal""></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">In this line, do you want to cover a topic on wellness, FItness, Lifestyle, and Technology?</span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><br style=""color:rgb(34,34,34);font-family:Arial,Helvetica,sans-serif;font-size:small;white-space:normal""></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">I want to submit an informative article on your website. This article will help you to engage your audience and provide them with useful information.</span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><br style=""color:rgb(34,34,34);font-family:Arial,Helvetica,sans-serif;font-size:small;white-space:normal""></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">You can check my previous written article-</span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><br style=""color:rgb(34,34,34);font-family:Arial,Helvetica,sans-serif;font-size:small;white-space:normal""></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">1. </span><span style=""background-color:rgb(214,227,239);color:rgb(51,51,51);font-family:Roboto,&quot;Helvetica Neue&quot;,Helvetica,Arial,sans-serif;font-size:13px""><a href=""https://robbieh.com/click?redirect=https%3A%2F%2Ftdpelmedia.com%2F10-places-you-should-definitely-explore-when-visiting-amsterdam%2F&amp;dID=1704968030442&amp;hashId=621bdbef35e7a8a5b32cb5b8f8a88d421c858100742f49111af7dcfc2d5bb6f5819032&amp;linkName=https://tdpelmedia.com/10-places-you-should-definitely-explore-when-visiting-amsterdam/"" target=""_blank"" rel=""nofollow"">https://tdpelmedia.com/10-places-you-should-definitely-explore-when-visiting-amsterdam/</a></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">2. h</span><span style=""background-color:rgb(214,227,239);color:rgb(51,51,51);font-family:Roboto,&quot;Helvetica Neue&quot;,Helvetica,Arial,sans-serif;font-size:13px"">ttps://<a href=""https://robbieh.com/click?redirect=http%3A%2F%2Fwww.techimply.com%2Fblog%2F5-things-to-know-about-transforming-customer-experience&amp;dID=1704968030442&amp;hashId=621bdbef35e7a8a5b32cb5b8f8a88d421c858100742f49111af7dcfc2d5bb6f5819032&amp;linkName=www.techimply.com/blog/5-things-to-know-about-transforming-customer-experience"" target=""_blank"" rel=""nofollow"">www.techimply.com/blog/5-things-to-know-about-transforming-customer-experience</a></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">3. </span><span style=""background-color:rgb(214,227,239);color:rgb(51,51,51);font-family:Roboto,&quot;Helvetica Neue&quot;,Helvetica,Arial,sans-serif;font-size:13px""><a href=""https://robbieh.com/click?redirect=https%3A%2F%2Fwww.aasma.co.uk%2F5-amazing-tips-to-improve-the-quality-of-life-of-senior-citizens%2F&amp;dID=1704968030442&amp;hashId=621bdbef35e7a8a5b32cb5b8f8a88d421c858100742f49111af7dcfc2d5bb6f5819032&amp;linkName=https://www.aasma.co.uk/5-amazing-tips-to-improve-the-quality-of-life-of-senior-citizens/"" target=""_blank"" rel=""nofollow"">https://www.aasma.co.uk/5-amazing-tips-to-improve-the-quality-of-life-of-senior-citizens/</a></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><br style=""color:rgb(34,34,34);font-family:Arial,Helvetica,sans-serif;font-size:small;white-space:normal""></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">Rest assured that the article will be -</span></p>
<ul style=""margin-top:0px;margin-bottom:0px"">
<li dir=""ltr"" style=""margin-left:15px;list-style-type:disc;font-size:10pt;font-family:Arial;background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline"">100% Unique </span></p></li>
<li dir=""ltr"" style=""margin-left:15px;list-style-type:disc;font-size:10pt;font-family:Arial;background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline"">800+ Words (Or as per your requirement)</span></p></li>
<li dir=""ltr"" style=""margin-left:15px;list-style-type:disc;font-size:10pt;font-family:Arial;background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline"">Checked by Grammarly Premium</span></p></li>
</ul>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap""><br style=""color:rgb(34,34,34);font-family:Arial,Helvetica,sans-serif;font-size:small;white-space:normal""></span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:10pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">I hope to hear from you soon</span></p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""> </p>
<p dir=""ltr"" style=""line-height:1.38;margin-top:0pt;margin-bottom:0pt""><span style=""font-size:11pt;font-family:Arial;color:rgb(0,0,0);background-color:transparent;font-variant-numeric:normal;vertical-align:baseline;white-space:pre-wrap"">Kind regards</span></p>
<div><div dir=""ltr""><div dir=""ltr"">
<img src=""https://randomuser.me/api/portraits/women/19.jpg"" width=""96"" height=""96"" alt=""""><br><table cellpadding=""0"" cellspacing=""0"" style=""color:rgb(0,0,0);font-family:Roboto,RobotoDraft,Helvetica,Arial,sans-serif""><tbody><tr><td style=""line-height:0px;padding-bottom:6px""><table cellpadding=""0"" cellspacing=""0"" style=""line-height:14px;font-size:12px;font-family:Arial""><tbody><tr><td style=""font-family:Arial"">
<span style=""white-space:nowrap""> </span>Rebecca Smith<br><span style=""letter-spacing:0px;text-transform:initial;font-size:13.2px;font-weight:bold;color:rgb(100,100,100)""> Blogger &amp; Influencer<br></span><span style=""white-space:nowrap""><b><br> <a href=""mailto:rebecca.smith@healthybox.org"" target=""_blank"" rel=""nofollow"">rebecca.smith@healthybox.org</a><br></b></span><br>
</td></tr></tbody></table></td></tr></tbody></table>
</div></div></div>
</div>",lead,659fbf73c74400b980d9e5f1,Rebecca Smith,rebecca.smith@healthybox.org,[],,False,contact.list,"[{'type': 'contact', 'id': '659fbf73c74400b980d9e5f1', 'external_id': '6cd0c243-790a-4fad-a38c-204d2ec3d921'}, {'type': 'contact', 'id': '58da2c3095ac9e6c374a0fd0', 'external_id': '5c3ade14-45ff-4536-5da8-dea578354f5e'}]",1704968051.0,email,,tag.list,[],conversation_statistics,993.0,,984.0,998.0,,1704968051.0,1704969044.0,,1704969035.0,1704969044.0,,1704968055.0,,1704969049.0,5005318.0,1,1,6,admin.list,[],English,list,[],0,False,,,,,,,,,,,
conversation,27252734411,1704968088,1704968927,1704968089.0,,,,False,closed,True,not_priority,,,,,conversation,2002573393,customer_initiated,,I need help,user,6454abe5bdcdc71f6ab9a4be,Daniel Vila Falcon,daniel.vila@disashop.com,[],,False,contact.list,"[{'type': 'contact', 'id': '6454abe5bdcdc71f6ab9a4be', 'external_id': '5020ffe9-35f8-4c3c-88a9-5f00ab0bb719'}]",1704968088.0,conversation,,tag.list,"[{'type': 'tag', 'id': '8282799', 'name': 'Slack', 'applied_at': 1704968090, 'applied_by': {'type': 'admin', 'id': '1071518'}}]",conversation_statistics,,,839.0,839.0,,1704968088.0,,,1704968927.0,,,1704968122.0,,1704968927.0,1071518.0,0,0,8,admin.list,[],English,list,[],0,False,P1,,,,,,,,,,
conversation,27252734407,1704967619,1704967948,,,,,False,closed,True,not_priority,,,Quota increase request from Civo.com,,email,2002564139,customer_initiated,<p>Quota increase request from Civo.com</p>,"<p>You've had a quota increase request through Civo.com.</p>

<p>Authenticated as: victim0204 0204 (eedc1ea0-e975-4409-9574-6d8890455fe8)
<br>Email Address: <a href=""mailto:victim0204@gmail.com"" rel=""nofollow"" target=""_blank"">victim0204@gmail.com</a>
<br>Explanation: testing testing</p>",user,659f8def1dc9e01fc81f9085,victim0204 0204,victim0204@gmail.com,[],,False,contact.list,"[{'type': 'contact', 'id': '659f8def1dc9e01fc81f9085', 'external_id': 'd30542b8-c0b5-4bb9-bc63-092b9ee9f1a6'}]",1704967619.0,email,,tag.list,[],conversation_statistics,,,328.0,328.0,,1704967620.0,,,1704967948.0,,,1704967620.0,,1704967948.0,5661700.0,0,0,3,admin.list,[],English,list,[],0,False,,,,,,,,,,,
conversation,27252707539,1704260895,1704967264,1704966913.0,,5657258.0,,True,open,True,not_priority,,,,,conversation,1991105913,customer_initiated,,<p>Hi</p>,user,658e91ae6214a70f52b0cdce,Sandeep Reddy,atologist.sandeep@gmail.com,[],https://dashboard.civo.com/kubernetes,False,contact.list,"[{'type': 'contact', 'id': '658e91ae6214a70f52b0cdce', 'external_id': '5679de50-0808-4f0b-944d-1e13ff0ef00d'}]",1704260895.0,conversation,https://dashboard.civo.com/kubernetes,tag.list,[],conversation_statistics,555.0,555.0,558.0,700194.0,495.0,1704260895.0,1704261450.0,1704261450.0,1704261453.0,1704261450.0,1704261450.0,1704967264.0,1704966537.0,1704961089.0,5657258.0,11,1,56,admin.list,"[{'type': 'admin', 'id': '5657258'}]",English,list,[],0,False,,4.0,,1704261465.0,contact,658e91ae6214a70f52b0cdce,5679de50-0808-4f0b-944d-1e13ff0ef00d,admin,5657258,,
conversation,27252734402,1704966861,1704967073,,,5005318.0,,True,open,True,not_priority,,,,,conversation,2002548705,customer_initiated,,"<p>Hello, we have an application running on one of our kubernetes clusters that connects to an external api. The api only allows traffic through an ip whitelist. Is there a recommended way to ensure all traffic coming from a pod is going through a static IP in civo? </p>
<p>Thanks,<br>Jake</p>",user,64c1c84e953549e034188059,Jake Meegan,jake@motion12.digital,[],https://dashboard.civo.com/kubernetes/c1327c9c-ba47-4d44-bd9e-0b41d45941ed,False,contact.list,"[{'type': 'contact', 'id': '64c1c84e953549e034188059', 'external_id': 'ffcf4867-08a5-40b2-8010-fba28f8ab3be'}]",1704966861.0,conversation,https://dashboard.civo.com/kubernetes/c1327c9c-ba47-4d44-bd9e-0b41d45941ed,tag.list,[],conversation_statistics,106.0,106.0,,,106.0,1704966861.0,1704966967.0,1704966967.0,,1704966967.0,1704966967.0,1704966861.0,1704966967.0,,,0,1,4,admin.list,"[{'type': 'admin', 'id': '5005318'}]",English,list,[],0,False,,,,,,,,,,,
conversation,27252732177,1704748623,1704963690,,,5657258.0,,False,closed,True,not_priority,,,,,conversation,1998820296,customer_initiated,,<p>I have tried to add a payment plan to no avail </p>,user,65970ddd342390592e282fae,Wycliffe  Paul,mugendi.wycliffe@gmail.com,[],https://dashboard.civo.com/#card_details,False,contact.list,"[{'type': 'contact', 'id': '65970ddd342390592e282fae', 'external_id': '55a9dee9-672e-4205-99e3-ca6249e717c7'}]",1704748623.0,conversation,https://dashboard.civo.com/#card_details,tag.list,[],conversation_statistics,20985.0,20985.0,20986.0,215067.0,20985.0,1704748623.0,1704769608.0,1704769608.0,1704769609.0,1704769608.0,1704769608.0,1704961904.0,1704769608.0,1704963690.0,5661700.0,1,1,9,admin.list,"[{'type': 'admin', 'id': '5657258'}]",English,list,[],0,False,,,,1704769621.0,contact,65970ddd342390592e282fae,55a9dee9-672e-4205-99e3-ca6249e717c7,admin,5657258,,
conversation,27252734378,1704960956,1704961171,,,5657258.0,,False,closed,True,not_priority,,,,,conversation,2002445002,customer_initiated,,<p>I fillup allthing information but not activate </p>,user,659f7582e36de0421e5379cb,Santosh Markad,santoshmarkad1998@gmail.com,[],https://www.civo.com/contact,False,contact.list,"[{'type': 'contact', 'id': '659f7582e36de0421e5379cb', 'external_id': '73813e81-4e93-44e3-9057-947589c4b596'}]",1704960956.0,conversation,https://www.civo.com/contact,tag.list,[],conversation_statistics,202.0,202.0,203.0,203.0,202.0,1704960956.0,1704961158.0,1704961158.0,1704961159.0,1704961158.0,1704961158.0,1704960956.0,1704961158.0,1704961159.0,5657258.0,0,1,7,admin.list,"[{'type': 'admin', 'id': '5657258'}]",English,list,[],0,False,,,,1704961170.0,contact,659f7582e36de0421e5379cb,73813e81-4e93-44e3-9057-947589c4b596,admin,5657258,,
conversation,27252734183,1704875837,1704955956,,,,,False,closed,True,not_priority,,,Guest Article For: https://www.civo.com/,,email,2000896199,customer_initiated,"<p>Guest Article For: <a href=""https://www.civo.com/"" rel=""nofollow"" target=""_blank"">https://www.civo.com/</a></p>","<div dir=""ltr""><div style=""font-size:12.8px;padding:12px 0px 3px"">Hello,<table cellpadding=""0"" style=""border-collapse:collapse;margin-top:0px;width:auto""></table></div><div style=""font-size:12.8px;direction:ltr;margin:5px 15px 0px 0px;padding-bottom:5px""><div style=""overflow:hidden""><div dir=""ltr""><div style=""font-family:arial,sans-serif"">I am Karen...I just observed your blog as I found it really unique and interesting. I love to dig for new ideas and write about them. </div></div></div></div><div style=""font-size:12.8px;direction:ltr;margin:5px 0px 0px 15px;padding-bottom:5px""><div style=""overflow:hidden""><div dir=""ltr""><div style=""font-family:arial,sans-serif"">So, I have attached an <b>Informative and unique</b> article with the images...</div></div></div></div><div style=""font-size:12.8px;direction:ltr;margin:5px 0px 0px 15px;padding-bottom:5px""><div style=""overflow:hidden""><div dir=""ltr""><div style=""font-family:arial,sans-serif"">Please review it &amp; let me know your words ASAP...</div></div></div></div><div style=""font-size:12.8px;direction:ltr;margin:5px 0px 0px 15px;padding-bottom:5px""><div style=""overflow:hidden""><div dir=""ltr""><div style=""font-family:arial,sans-serif"">Waiting for a reply...</div></div></div></div><div><div dir=""ltr""><div dir=""ltr"">Regards,<div>Karen Anthony</div></div></div></div></div>",lead,659e573da987a4acc26a4a52,Karen Anthony,anthonykaren88@gmail.com,"[{'type': 'upload', 'name': 'database123.jpg', 'url': 'https://civo.intercom-attachments-5.com/i/o/929391928/fa2b9c8914838b7e7fce66c2/database123.jpg?expires=1704971074&signature=ad75be5191c7d0e0e780839e46cdb8630dfbe88cc86cb56ab6d14319806a152a', 'content_type': 'image/jpeg', 'filesize': 72090, 'width': '960', 'height': '640'}, {'type': 'upload', 'name': 'Choosing the Right Database Service A Comparative Analysis of Leading Providers(edited).docx', 'url': 'https://civo.intercom-attachments.com/i/o/929391930/a74262d9c5ce55d64799acd8/Choosing+the+Right+Database+Service+A+Comparative+Analysis+of+Leading+Providers%28edited%29.docx?expires=1704971074&signature=36ec229563da613daf27230a0f7ae570c146fb72d28f6ca320e04e5addcee502', 'content_type': 'application/force-download', 'filesize': 13695, 'width': None, 'height': None}]",,False,contact.list,"[{'type': 'contact', 'id': '659e573da987a4acc26a4a52', 'external_id': 'e1838d33-3c08-4eae-874e-8081765b48cf'}, {'type': 'contact', 'id': '58da2c3095ac9e6c374a0fd0', 'external_id': '5c3ade14-45ff-4536-5da8-dea578354f5e'}]",1704875837.0,email,,tag.list,[],conversation_statistics,,,629.0,80118.0,,1704875838.0,,,1704876467.0,,,1704955883.0,,1704955956.0,5657258.0,1,0,6,admin.list,[],English,list,[],0,False,,,,,,,,,,,
conversation,27252704398,1702534609,1704955570,,,5005318.0,,False,closed,True,not_priority,,,,,conversation,1966184102,customer_initiated,,"<p>Hey, any updates on the bugs i submitted on 16th nov? Been about a month and its radio silence from you guys. Does that mean that those bugs are not important for you? You should send atleast some </p>",user,653b6e0059f9e2d9c940d7c0,Shard updhaya,shauryaupadhyay59@gmail.com,[],https://www.civo.com/,False,contact.list,"[{'type': 'contact', 'id': '653b6e0059f9e2d9c940d7c0', 'external_id': '428a79a3-497e-460d-9e0b-1bae8699faf5'}]",1702534609.0,conversation,https://www.civo.com/,tag.list,[],conversation_statistics,3951.0,3951.0,10866.0,2420961.0,3767.0,1702534609.0,1702538560.0,1702538560.0,1702545475.0,1702538560.0,1702538560.0,1704953166.0,1702545474.0,1704955570.0,5657258.0,2,1,16,admin.list,"[{'type': 'admin', 'id': '5005318'}, {'type': 'admin', 'id': '5661700'}]",English,list,[],0,False,,,,1702545486.0,contact,653b6e0059f9e2d9c940d7c0,428a79a3-497e-460d-9e0b-1bae8699faf5,admin,5661700,,
conversation,27252732186,1704757401,1704953024,,,5657258.0,,False,closed,True,not_priority,,,,,conversation,1998964364,customer_initiated,,"<p>Hi, I just tried creating a kubernetes cluster with terraform, the definition gets applied correctly and civo cli also lists the cluster. However I'm not able to see it in the web ui. Is this expected behavior?</p>",user,659744914b491545dfe16df5,Christoph Mantsch,christoph@mants.ch,[],https://dashboard.civo.com/,False,contact.list,"[{'type': 'contact', 'id': '659744914b491545dfe16df5', 'external_id': '03131bab-60e1-404d-9804-77ac25303aab'}]",1704757401.0,conversation,https://dashboard.civo.com/,tag.list,[],conversation_statistics,12585.0,12585.0,36867.0,195623.0,18600.0,1704757401.0,1704769986.0,1704769986.0,1704794268.0,1704769986.0,1704769986.0,1704952411.0,1704863067.0,1704953024.0,5657258.0,2,1,15,admin.list,"[{'type': 'admin', 'id': '5657258'}, {'type': 'admin', 'id': '5642646'}]",English,list,[],0,False,,,,1704794280.0,contact,659744914b491545dfe16df5,03131bab-60e1-404d-9804-77ac25303aab,admin,5657258,,
